latitude,id,family,m,ratio,cost,error,numerator,denominator,color,selected
15,6edbb8097bc77054,MF+SF,3,0.01,0.16779767327368758,0.11874050968740947,665085.1514853851,5601164.701383346,#B279A2,false
15,cb391d3977990c10,MF+SF,3,0.02,0.17547596078757602,0.0924691971084676,517935.20280920767,5601164.701383346,#B279A2,false
15,41a0c11fb367a663,MF+SF,3,0.05,0.1999830977657388,0.058889961779379496,329852.3751844748,5601164.701383346,#B279A2,false
15,8dc245111c8c0751,MF+SF,3,0.1,0.24209203063112605,0.041520546730552166,232563.42072930647,5601164.701383346,#B279A2,false
15,bea9a221692984be,MF+SF,3,0.2,0.32638368693608905,0.0262481110530541,147019.99310835666,5601164.701383346,#B279A2,false
15,b2822fa3c084ca0c,MF+SF,3,0.35,0.4525652553848934,0.014777867926132804,82773.27218956017,5601164.701383346,#B279A2,false
15,7a575b5bdbd82d08,MF+SF,3,0.5,0.5789206522607582,0.00827907126085483,46372.441706537385,5601164.701383346,#B279A2,false
15,c1795dfd90543d9f,SF,3,0.01,0.16779767327368758,0.10078616663318357,564519.9189335278,5601164.701383346,#B279A2,false
15,0dfbc6fb684fecfc,SF,3,0.02,0.17547596078757602,0.07661590061243764,429138.2780750804,5601164.701383346,#B279A2,false
15,d8cd672cd8470116,SF,3,0.05,0.1999830977657388,0.051339414977406614,287560.5189611214,5601164.701383346,#B279A2,false
15,c5565005198482df,SF,3,0.1,0.24209203063112605,0.03718983260680116,208306.37764757,5601164.701383346,#B279A2,false
15,9473b128e73baa7f,SF,3,0.2,0.32638368693608905,0.023884380371847088,133780.34825320315,5601164.701383346,#B279A2,true
15,17e14e38b27d877e,SF,3,0.35,0.4525652553848934,0.013749340050911277,77012.31816048054,5601164.701383346,#B279A2,false
15,5efbca017834c43c,SF,3,0.5,0.5789206522607582,0.007833423865597931,43876.29724696101,5601164.701383346,#B279A2,false
30,6cd52c9bc8413fd0,MF,0,0.01,0.011759737012504018,0.2197482287558817,1065586.448610631,4849124.175623691,#4C78A8,false
30,c84bdea16f32f98f,MF,0,0.02,0.020877703435246517,0.18404631448764905,892463.4330164997,4849124.175623691,#4C78A8,false
30,92509a4487fb049e,MF,0,0.05,0.04997992859681482,0.14186037601153062,687898.5788805801,4849124.175623691,#4C78A8,false
30,84910c2b0412848d,MF,0,0.1,0.09998428637446223,0.1160238124273324,562613.8737894059,4849124.175623691,#4C78A8,false
30,031f112e5c4cf361,MF,0,0.2,0.20008062823660575,0.08954258676824516,434203.12224577955,4849124.175623691,#4C78A8,false
30,3707057ec933dfea,MF,0,0.35,0.34992124076956094,0.0662296804990184,321155.94485162303,4849124.175623691,#4C78A8,false
30,4acb6086578a45d2,MF,0,0.5,0.49996827455965037,0.05131872433697623,248850.86684459928,4849124.175623691,#4C78A8,false
30,910b849b9f88b2ce,MF+SF,1,0.01,0.06377238243289854,0.1664075170837012,806930.7140960877,4849124.175623691,#F58518,false
30,eb7cf93e607fec24,MF+SF,1,0.02,0.07241045588602302,0.1328117074238848,644020.4612750201,4849124.175623691,#F58518,false
30,2ee080f94d11e0eb,MF+SF,1,0.05,0.09998098498645615,0.09273120526901488,449665.12930470303,4849124.175623691,#F58518,false
